"","subject","TotTrialNumber","Reward_Condition","cuechoice"
"1","54b9acd9fdf99b34ce2578f9",151,"Extremely Negative",3
"2","54b9acd9fdf99b34ce2578f9",152,"Extremely Negative",3
"3","54b9acd9fdf99b34ce2578f9",153,"Extremely Negative",3
"4","54b9acd9fdf99b34ce2578f9",154,"Extremely Negative",3
"5","54b9acd9fdf99b34ce2578f9",155,"Extremely Negative",3
"6","54b9acd9fdf99b34ce2578f9",156,"Extremely Negative",3
"7","54b9acd9fdf99b34ce2578f9",157,"Extremely Negative",3
"8","54b9acd9fdf99b34ce2578f9",158,"Extremely Negative",3
"9","54b9acd9fdf99b34ce2578f9",159,"Extremely Negative",3
"10","54b9acd9fdf99b34ce2578f9",160,"Extremely Negative",3
"11","54b9acd9fdf99b34ce2578f9",161,"Extremely Negative",3
"12","54b9acd9fdf99b34ce2578f9",162,"Extremely Negative",3
"13","54b9acd9fdf99b34ce2578f9",163,"Extremely Negative",3
"14","54b9acd9fdf99b34ce2578f9",164,"Extremely Negative",3
"15","54b9acd9fdf99b34ce2578f9",165,"Extremely Negative",3
"16","54b9acd9fdf99b34ce2578f9",166,"Moderately Negative",3
"17","54b9acd9fdf99b34ce2578f9",167,"Moderately Negative",3
"18","54b9acd9fdf99b34ce2578f9",168,"Moderately Negative",3
"19","54b9acd9fdf99b34ce2578f9",169,"Moderately Negative",3
"20","54b9acd9fdf99b34ce2578f9",170,"Moderately Negative",3
"21","54b9acd9fdf99b34ce2578f9",171,"Moderately Negative",3
"22","54b9acd9fdf99b34ce2578f9",172,"Moderately Negative",2
"23","54b9acd9fdf99b34ce2578f9",173,"Moderately Negative",2
"24","54b9acd9fdf99b34ce2578f9",174,"Moderately Negative",2
"25","54b9acd9fdf99b34ce2578f9",175,"Moderately Negative",2
"26","54b9acd9fdf99b34ce2578f9",176,"Moderately Negative",2
"27","54b9acd9fdf99b34ce2578f9",177,"Moderately Negative",2
"28","54b9acd9fdf99b34ce2578f9",178,"Moderately Negative",2
"29","54b9acd9fdf99b34ce2578f9",179,"Moderately Negative",2
"30","54b9acd9fdf99b34ce2578f9",180,"Moderately Negative",2
"31","54b9acd9fdf99b34ce2578f9",181,"Moderately Positive",1
"32","54b9acd9fdf99b34ce2578f9",182,"Moderately Positive",1
"33","54b9acd9fdf99b34ce2578f9",183,"Moderately Positive",1
"34","54b9acd9fdf99b34ce2578f9",184,"Moderately Positive",2
"35","54b9acd9fdf99b34ce2578f9",185,"Moderately Positive",2
"36","54b9acd9fdf99b34ce2578f9",186,"Moderately Positive",2
"37","54b9acd9fdf99b34ce2578f9",187,"Moderately Positive",2
"38","54b9acd9fdf99b34ce2578f9",188,"Moderately Positive",2
"39","54b9acd9fdf99b34ce2578f9",189,"Moderately Positive",2
"40","54b9acd9fdf99b34ce2578f9",190,"Moderately Positive",2
"41","54b9acd9fdf99b34ce2578f9",191,"Moderately Positive",2
"42","54b9acd9fdf99b34ce2578f9",192,"Moderately Positive",3
"43","54b9acd9fdf99b34ce2578f9",193,"Moderately Positive",3
"44","54b9acd9fdf99b34ce2578f9",194,"Moderately Positive",3
"45","54b9acd9fdf99b34ce2578f9",195,"Moderately Positive",2
"46","54b9acd9fdf99b34ce2578f9",196,"Neutral",2
"47","54b9acd9fdf99b34ce2578f9",197,"Neutral",2
"48","54b9acd9fdf99b34ce2578f9",198,"Neutral",2
"49","54b9acd9fdf99b34ce2578f9",199,"Neutral",2
"50","54b9acd9fdf99b34ce2578f9",200,"Neutral",2
"51","54b9acd9fdf99b34ce2578f9",201,"Neutral",2
